Name,Description,Tags,url
What is JavaScript? - Learn web development | MDN,JavaScript Docs,JavaScript,https://developer.mozilla.org/en-US/docs/Learn/JavaScript/First_steps/What_is_JavaScript
Introduction to client-side frameworks - Learn web development | MDN,MDN into to client-side frameworks (like React),JavaScript,https://developer.mozilla.org/en-US/docs/Learn/Tools_and_testing/Client-side_JavaScript_frameworks/Introduction
Getting started with React - Learn web development | MDN,MDN Intro to React,JavaScript,https://developer.mozilla.org/en-US/docs/Learn/Tools_and_testing/Client-side_JavaScript_frameworks/React_getting_started
Document Object Model (DOM) - Web APIs | MDN,Docs for the DOM API in JavaScript,JavaScript,https://developer.mozilla.org/en-US/docs/Web/API/Document_Object_Model
Learn to Code with JavaScript - Code Like This,JavaScript tutorial for practice,JavaScript,https://codelikethis.com/lessons/javascript
ml5js·Friendly Machine Learning For The Web,ml5.js is a library for machine learning with TensorFlow,JS Libraries & Frameworks,https://ml5js.org/
LinkedIn: Adobe XD Essential,LinkedIn Learning: Adobe XD Essential training video tutorials,Wireframing,https://www.linkedin.com/learning/adobe-xd-essential-training-design-2020-q1?trk=share_ent_url&shareId=WdWkFWPMSDS7E7ysgiY03Q%3D%3D&accountId=77842946&u=77842946&success=true&authUUID=EExbwCO7TyyGo5QUzQfjug%3D%3D
Colormind - Bootstrap UI colors,A color palette picker/generator,Design,http://colormind.io/bootstrap/
Installing Homebrew on a Mac,Instructions and information for installing Homebrew to make Node installation simpler,Development Environment,https://treehouse.github.io/installation-guides/mac/homebrew
"CIFS server space info, how to login",Information and instructions for logging into the Duke CIFS server space,Development Environment,https://www.notion.so/CIFS-server-space-info-how-to-login-746edc7aba694088b54b839cb8295d44#4b58d771e9444248afacdb60aae627a9
Connect to a MongoDB Database Using Node.js | MongoDB,Guide for connecting to a MongoDB with node.js,Node JS,https://www.mongodb.com/blog/post/quick-start-nodejs-mongodb--how-to-get-connected-to-your-database
Server-side website programming - Learn web development | MDN,Tutorial/Guide: introduction to server-side web development from MDN,Node JS,https://developer.mozilla.org/en-US/docs/Learn/Server-side
Express body-parser middleware,Express Body Parser is a node package for parsing data from http requests,Node JS,https://www.notion.so/Express-body-parser-middleware-a787714f573f4977a5b87c366642b2e2
File system | Node.js v16.5.0 Documentation,FS is a node js package for accessing / importing from the file system,Node JS,https://nodejs.org/api/fs.html
"How to deploy your Node.js / MongoDB app to the web, using Heroku | by Nicolai Safai | Make School | Medium",Information on deploying Node.js apps on Heroku,Node JS,https://medium.com/make-school/how-to-deploy-your-node-js-mongodb-app-to-the-web-using-heroku-63d4bccf2675
Building RESTful APIs using Express and Node with MongoDB Atlas | Buddy,"A good starter guide for building an interactive to-do list via RESTful APIs with Express, Node and Mongo DB Atlas",Node JS,https://buddy.works/tutorials/building-restful-apis-using-express-and-node-with-mongodb-atlas
Express - Node.js web application framework,Express is a web application framework for Node.js.  We'll use express to run server instances,Node JS,https://expressjs.com/
Introduction to Node and Express | Daniel Shiffman,Dan Shiffman's introduction tutorials for Node and Express,Node JS,https://shiffman.net/a2z/server-node/
The Always-recent Guide to Creating Your Own Full-stack JavaScript Development Environment for Nodejs and Reactjs,"A guide to building a react app with Node, Express, Webpack and Babel from the ground up without create-react-app",Node JS,https://jscomplete.com/learn/1rd-reactful
5 day weather forecast - OpenWeatherMap,Open Weather Map provides a data API for weather data,APIs & Data,https://openweathermap.org/forecast5
Building a Text-Based Adventure in Vue.js,A guide to building a text-based adventure with Vue.js,Project Ideas,https://www.raymondcamden.com/2018/02/14/building-a-text-based-adventure-in-vuejs/
Gherciu/react-p5: 🎨 This Component lets you integrate p5 Sketches into your React App.,A tool/library for constructing p5 components in React Apps,Project Ideas,https://github.com/Gherciu/react-p5
Getting Started – React,React's guide to getting started with React,React,https://reactjs.org/docs/getting-started.html
React Router with Redux: Understanding navigation state - LogRocket Blog,A good guide to understanding React router,React,https://blog.logrocket.com/react-router-with-redux-navigation-state/
Add React to a Website – React,React's own intro to adding React components to an existing site,React,https://reactjs.org/docs/add-react-to-a-website.html
"Building a blogging platform Using React, GraphQL, And GraphCMS",Build a blogging platform based on React (with some other tools),Project Ideas,https://codesource.io/building-a-blogging-platform-using-react-graphql-and-graphcms/
MongoDB: A Beginner’s Guide. Learn how to combine the power of… | by Bret Cameron | Medium,Mongo DB beginners guid,MongoDB,https://medium.com/@bretcameron/mongodb-a-beginners-guide-8fca0c7787a4
Mongoose v5.13.3: Connecting to MongoDB,Mongoose is a helper tool for connecting to Mongo DB in Node.js,MongoDB,https://mongoosejs.com/docs/connections.html
How to Create a React Application and Deploy It on GitHub Pages | Pluralsight,How to deploy a react app on github pages,Deploy,https://www.pluralsight.com/guides/how-to-create-react-application-and-deploy-on-github-pages
ColorSpace - Color Palettes Generator and Color Gradient Tool,Colorspace is a color palette generator,Design,https://mycolor.space/?hex=%2331454D&sub=1
React Icons,An icons library for react,React,https://react-icons.github.io/react-icons/
gitname/react-gh-pages: Deploying a React App (created using create-react-app) to GitHub Pages,Another guide to deploying a react app on Github Pages,Deploy,https://github.com/gitname/react-gh-pages
public-apis/public-apis: A collective list of free APIs,A list of publicly available APIs collectively created on Github,APIs & Data,https://github.com/public-apis/public-apis
Google Public Data Explorer,Google guide to public data,APIs & Data,https://www.google.com/publicdata/directory
Home | Joey Lee | Creative Technologist,"Joey Lee is a creative coder who works primarily in JavaScript.  He is a lead developer on ml5.js, the machine learning JavaScript library",Project Ideas,https://jk-lee.com/
Understanding Component-Based Architecture | by dshaps | Medium,React is a component-based framework for single page app development.  This article explains what that means.,React,https://medium.com/@dan.shapiro1210/understanding-component-based-architecture-3ff48ec0c238
React for Beginners – A React.js Handbook for Front End Developers,A React handbook and tutorial for beginners,React,https://www.freecodecamp.org/news/react-beginner-handbook/
Build a Web App with React — Glitch Blog,A beginner's guide for building a single page web app with React,React,https://www.taniarascia.com/getting-started-with-react/?utm_source=coursereport&utm_medium=blogpost
React Tutorial: An Overview and Walkthrough | Tania Rascia,A text-based tutorial introduction to React,React,https://www.taniarascia.com/getting-started-with-react/?utm_source=coursereport&utm_medium=blogpost
10+ Best JavaScript Animation Libraries to Use in 2021,This is a list of good JavaScript libraries for animating things,JS Libraries & Frameworks,https://www.codeinwp.com/blog/best-javascript-animation-libraries/
Working with Data and APIs in JavaScript - YouTube,Dan Shiffman YouTube tutorials,APIs & Data,https://www.youtube.com/playlist?list=PLRqwX-V7Uu6YxDKpFzf_2D84p0cyk4T7X
Beginners Guide to Machine Learning in JavaScript - Dan Shiffman / Youtube,Dan Shiffman on machine learning with ml5.js,Project Ideas,https://www.youtube.com/playlist?list=PLRqwX-V7Uu6YPSwT06y_AEYTqIwbeam3y
Treehouse Installation Guides,Guides for installing Node.js and NPM on Mac and Windows,Node JS,http://treehouse.github.io/installation-guides/
How to quickly deploy React and Node app on AWS | by Abhinav Dhasmana | Medium,Deploy React/Node app on AWS,Deploy,https://adhasmana.medium.com/how-to-quickly-deploy-react-and-node-app-on-aws-80e5dfe7d86e
10 ways to deploy a React app for free - LogRocket Blog,A guide to deploying a React App for free through a number of services including Github Pages and Netlify,Deploy,https://blog.logrocket.com/8-ways-to-deploy-a-react-app-for-free/
Visual Studio Code - Download,Visual Studio Code is the text editor we will be using throughout this course,Development Environment,https://code.visualstudio.com/
"Bootstrap · The most popular HTML, CSS, and JS library in the world.",Bootstrap is a widely used front-end development grid framework for responsive design.,CSS,https://getbootstrap.com/
W3.CSS Home,W3.css is a css grid and style framework and alternative to bootstrap,CSS,https://www.w3schools.com/w3css/defaulT.asp
"css: Online Courses, Training and Tutorials on LinkedIn Learning",CSS tutorials on LinkedIn Learning,CSS,https://www.linkedin.com/learning/search?keywords=css&u=77842946
A Complete Guide to Grid | CSS-Tricks,A complete guide to CSS Grid for layout and positioning,Design,https://css-tricks.com/snippets/css/complete-guide-grid/
A Complete Guide to Flexbox | CSS-Tricks,A great visual guide to CSS Flexbox for layout and positioning,Design,https://css-tricks.com/snippets/css/a-guide-to-flexbox/
What is HTML?,LinkedIn Learning HTML tutorial,HTML,https://www.linkedin.com/learning/html-essential-training-4/what-is-html?u=77842946
React Tutorial: Learn React JS - Free 4-Hour Course,"A well-respected, free React tutorial with it's own internal editor for following along.  Requires email sign up.",React,https://scrimba.com/learn/learnreact?utm_source=coursereport&utm_medium=blogpost